"","ensemble","tau","ntraj","beta","mpi","L","T","a","state"
"1","cA211.08.64",1,"-",1.726,135,64,128,0.091,"planned"
"2","cA211.08.48",1,"-",1.726,135,48,96,0.091,"ongoing"
"3","cA211.12.48",1,"3000",1.726,170,48,96,0.091,"done"
"4","cA211.30.32",1,"10000",1.726,250,32,64,0.091,"done"
"5","cA211.40.24",1,"5000",1.726,290,24,48,0.091,"done"
"6","cA211.53.24",1,"5000",1.726,340,24,48,0.091,"done"
"7","cB211.072.48",1,"-",1.778,135,48,96,0.08,"ongoing"
"8","cB211.072.64",1,"3500",1.778,135,64,128,0.08,"done"
"9","cB211.072.96",1,"-",1.778,135,96,128,0.08,"ongoing"
"10","cB211.25.48",1.5,"5000",1.778,250,48,96,0.08,"done"
"11","cB211.25.32",1.5,"4000",1.778,250,32,64,0.08,"done"
"12","cB211.25.24",1,"5000",1.778,250,24,48,0.08,"done"
"13","cB211.14.48",1.5,"2800",1.778,190,48,128,0.08,"done"
"14","cB211.14.64",1.5,"4400",1.778,190,64,128,0.08,"done"
"15","cC211.20.48",1,"2700",1.836,250,48,96,0.068,"done"
"16","cC211.12.64",1,"-",1.836,190,64,128,0.068,"ongoing"
"17","cC211.06.80",1,"3100",1.836,135,80,160,0.068,"done"
"18","cC211.06.112",1,"-",1.836,135,112,224,0.068,"ongoing"
"19","cD211.054.96",1,"2500",1.9,135,96,192,0.057,"done"
"20","cD211.17.64",1,"?",1.9,250,64,128,0.057,"ongoing"
"21","cE211.044.112",1,"-",1.96,135,112,224,0.049,"planned"
